WINDCODE,INDATE,OUTDATE
600590.SH,20070115,20131213
600639.SH,20100701,20600101
600967.SH,20140616,20600101
600230.SH,20070115,20111230
000540.SZ,20201214,20600101
000709.SZ,20201214,20600101
002299.SZ,20201214,20600101
002468.SZ,20201214,20600101
002568.SZ,20201214,20600101
002683.SZ,20201214,20600101
002705.SZ,20201214,20600101
002791.SZ,20201214,20600101
002966.SZ,20201214,20600101
002985.SZ,20201214,20600101
300146.SZ,20201214,20600101
300223.SZ,20201214,20600101
300463.SZ,20201214,20600101
300699.SZ,20201214,20600101
600038.SH,20201214,20600101
600089.SH,20201214,20600101
600131.SH,20201214,20600101
600170.SH,20201214,20600101
600188.SH,20201214,20600101
600219.SH,20201214,20600101
600372.SH,20201214,20600101
600398.SH,20201214,20600101
600516.SH,20201214,20600101
600517.SH,20201214,20600101
600546.SH,20201214,20600101
600556.SH,20201214,20600101
600867.SH,20201214,20600101
600871.SH,20201214,20600101
600928.SH,20201214,20600101
600968.SH,20201214,20600101
601298.SH,20201214,20600101
601456.SH,20201214,20600101
601778.SH,20201214,20600101
601828.SH,20201214,20600101
601992.SH,20201214,20600101
601997.SH,20201214,20600101
603260.SH,20201214,20600101
603290.SH,20201214,20600101
603345.SH,20201214,20600101
603589.SH,20201214,20600101
603638.SH,20201214,20600101
603719.SH,20201214,20600101
603737.SH,20201214,20600101
603893.SH,20201214,20600101
603927.SH,20201214,20600101
688002.SH,20201214,20600101
688029.SH,20201214,20600101
688088.SH,20201214,20600101
688099.SH,20201214,20600101
688321.SH,20201214,20600101
600126.SH,20070115,20120629
002293.SZ,20100701,20110630
600423.SH,20070115,20120629
300039.SZ,20141215,20181214
002489.SZ,20110701,20191213
600345.SH,20070115,20081231
000661.SZ,20141215,20181214
600837.SH,20070115,20070629
600163.SH,20090701,20130628
000027.SZ,20170612,20600101
000039.SZ,20170612,20600101
000061.SZ,20170612,20600101
000536.SZ,20170612,20200612
000662.SZ,20170612,20180608
000712.SZ,20170612,20201211
000729.SZ,20170612,20600101
000732.SZ,20170612,20600101
000766.SZ,20170612,20200612
000778.SZ,20170612,20600101
002120.SZ,20170612,20171208
002127.SZ,20170612,20201211
002147.SZ,20170612,20190614
002468.SZ,20170612,20171208
002517.SZ,20170612,20191213
002583.SZ,20170612,20600101
002601.SZ,20170612,20171208
002709.SZ,20170612,20600101
002807.SZ,20170612,20600101
002815.SZ,20170612,20600101
002818.SZ,20170612,20600101
300002.SZ,20170612,20600101
300058.SZ,20170612,20600101
300116.SZ,20170612,20181214
300146.SZ,20170612,20190614
300376.SZ,20170612,20600101
300383.SZ,20170612,20200612
600126.SH,20170612,20600101
600566.SH,20170612,20180608
600582.SH,20170612,20600101
600642.SH,20170612,20600101
600648.SH,20170612,20600101
600754.SH,20170612,20600101
600839.SH,20170612,20600101
600936.SH,20170612,20181214
600996.SH,20170612,20201211
601020.SH,20170612,20190614
601811.SH,20170612,20201211
601928.SH,20170612,20600101
603000.SH,20170612,20600101
603228.SH,20170612,20600101
603444.SH,20170612,20600101
603515.SH,20170612,20600101
603556.SH,20170612,20201211
603569.SH,20170612,20191213
603658.SH,20170612,20190614
603799.SH,20170612,20171208
603816.SH,20170612,20600101
603877.SH,20170612,20200612
603888.SH,20170612,20600101
000961.SZ,20141215,20170609
600864.SH,20070115,20170609
000016.SZ,20070115,20111230
600277.SH,20070115,20100630
000900.SZ,20110701,20161209
000788.SZ,20131216,20151211
601886.SH,20140616,20171208
600231.SH,20070702,20131213
000952.SZ,20080102,20101231
600884.SH,20070702,20600101
000410.SZ,20090105,20131213
600533.SH,20070115,20071228
603188.SH,20150615,20181214
002589.SZ,20160613,20600101
000949.SZ,20070115,20121231
600834.SH,20070702,20090630
600227.SH,20070115,20131213
002029.SZ,20120104,20170609
600319.SH,20070115,20090630
002568.SZ,20151214,20160608
600178.SH,20070115,20121231
600293.SH,20070115,20121231
600971.SH,20140616,20191213
600496.SH,20070115,20171208
600343.SH,20070115,20100630
600983.SH,20070115,20151211
000421.SZ,20070115,20091231
000837.SZ,20070115,20121231
600844.SH,20090105,20150612
600612.SH,20070115,20070629
600851.SH,20090105,20170609
600823.SH,20070115,20080630
600289.SH,20070115,20180608
002308.SZ,20100701,20190614
000416.SZ,20070115,20110630
000875.SZ,20070702,20120629
600467.SH,20070115,20150612
002384.SZ,20110104,20200612
600325.SH,20110701,20600101
600885.SH,20131216,20160608
002238.SZ,20090701,20170609
002714.SZ,20140616,20150612
002368.SZ,20131216,20600101
600707.SH,20070115,20121231
000008.SZ,20180611,20600101
000553.SZ,20180611,20181214
000686.SZ,20180611,20600101
000738.SZ,20180611,20600101
000750.SZ,20180611,20600101
000813.SZ,20180611,20600101
000980.SZ,20180611,20200612
002110.SZ,20180611,20600101
002129.SZ,20180611,20200612
002174.SZ,20180611,20600101
002180.SZ,20180611,20181214
002212.SZ,20180611,20600101
002302.SZ,20180611,20600101
002399.SZ,20180611,20600101
002424.SZ,20180611,20600101
002426.SZ,20180611,20200612
002465.SZ,20180611,20600101
002509.SZ,20180611,20191213
002563.SZ,20180611,20190614
002600.SZ,20180611,20181214
002831.SZ,20180611,20600101
002839.SZ,20180611,20600101
002841.SZ,20180611,20181214
002916.SZ,20180611,20191213
002920.SZ,20180611,20600101
300156.SZ,20180611,20190614
300308.SZ,20180611,20200612
300315.SZ,20180611,20600101
300418.SZ,20180611,20600101
600021.SH,20180611,20600101
600167.SH,20180611,20600101
600258.SH,20180611,20600101
600350.SH,20180611,20600101
600528.SH,20180611,20600101
600649.SH,20180611,20600101
600760.SH,20180611,20181214
600777.SH,20180611,20201211
600827.SH,20180611,20600101
600895.SH,20180611,20600101
601019.SH,20180611,20201211
601098.SH,20180611,20600101
601179.SH,20180611,20600101
601608.SH,20180611,20600101
601801.SH,20180611,20600101
601872.SH,20180611,20200612
601966.SH,20180611,20600101
603056.SH,20180611,20600101
603659.SH,20180611,20201211
603885.SH,20180611,20600101
603899.SH,20180611,20190614
600637.SH,20090105,20121231
600498.SH,20150615,20161209
000829.SZ,20070115,20070629
002378.SZ,20131216,20141212
002051.SZ,20100104,20121231
600883.SH,20070115,20091231
600022.SH,20151214,20160608
002075.SZ,20130701,20141212
600053.SH,20080701,20081231
002410.SZ,20160613,20190614
002106.SZ,20141215,20180608
600208.SH,20070115,20070629
600872.SH,20070115,20191213
600675.SH,20120104,20151211
002390.SZ,20141215,20600101
600302.SH,20070115,20090630
000810.SZ,20160613,20171208
600166.SH,20070702,20071228
000506.SZ,20120104,20150612
002396.SZ,20130104,20171208
600497.SH,20151214,20170609
000407.SZ,20070115,20120629
000883.SZ,20110701,20111230
300001.SZ,20160613,20600101
