TRADE_DT,S_DQ_PCTCHANGE,S_DQ_VOLUME
20061226,-1.0339,23931457.8200
20061227,0.6803,20997489.6500
20061228,-1.9442,24081394.6300
20061229,1.2566,24615518.0900
20070104,-0.1425,32129867.7800
20070105,2.7145,29545474.4000
20070108,4.6027,39719320.3400
20070109,2.1548,42845908.5000
20070110,2.5880,45406336.6400
20070111,0.5876,53883464.9100
20070112,-3.6104,44080093.8900
20070115,5.5685,38812630.3200
20070116,3.4471,48074418.9800
20070117,-0.9423,58832887.0000
20070118,2.4440,50949460.0000
20070119,3.5597,57925168.0000
20070122,4.6002,63589201.0000
20070123,0.1239,61080176.0000
20070124,0.9687,51041222.0000
20070125,-4.7930,48175660.0000
20070126,0.5533,44759405.0000
20070129,3.3997,45646662.0000
20070130,-0.2061,50247687.0000
20070131,-5.0111,49046924.0000
20070201,1.0506,42338845.0000
20070202,-1.7688,38610610.0000
20070205,1.1822,30134110.0000
20070206,2.1368,30876185.0000
20070207,1.8062,38327050.0000
20070208,1.8097,39053897.0000
20070209,0.3922,37161822.0000
20070212,2.3473,36188353.0000
20070213,1.8404,38163783.0000
20070214,2.1727,44065582.0000
20070215,3.1381,51516459.0000
20070216,1.1546,54056751.0000
20070226,3.9626,48963084.0000
20070227,-8.9527,72404254.0000
20070228,4.4879,53025029.0000
20070301,-2.1492,58828139.0000
20070302,1.7957,47238104.0000
20070305,0.3291,49535978.0000
20070306,0.1627,33321666.0000
20070307,2.5673,37230709.0000
20070308,2.1035,43077065.0000
20070309,0.1202,48031705.0000
20070312,2.2157,51367091.0000
20070313,1.1481,53596162.0000
20070314,-0.6881,56580271.0000
20070315,1.9255,51009806.0000
20070316,-1.8104,55633131.0000
20070319,1.4983,47649881.0000
20070320,2.1529,43558984.0000
20070321,1.7181,48276756.0000
20070322,0.0749,56005698.0000
20070323,1.2881,52272355.0000
20070326,3.1419,56736775.0000
20070327,1.6889,56957800.0000
20070328,-1.1594,67009339.0000
20070329,-3.6453,55994799.0000
20070330,1.0807,35962417.0000
20070402,2.3091,37673587.0000
20070403,1.6312,46766983.0000
20070404,1.1977,53126353.0000
20070405,1.7617,52801657.0000
20070406,1.5848,56252054.0000
20070409,1.8067,62143752.0000
20070410,0.6550,63556608.0000
20070411,1.4784,67723772.0000
20070412,2.3466,64707446.0000
20070413,-0.8496,67535073.0000
20070416,2.9606,60396858.0000
20070417,2.8961,77944237.0000
20070418,2.5715,71614000.0000
20070419,-5.8617,78014301.0000
20070420,5.1986,62251145.0000
20070423,4.6444,73720028.0000
20070424,1.0354,81814319.0000
20070425,-0.4284,64389272.0000
20070426,1.2673,55433349.0000
20070427,-0.1935,58297402.0000
20070430,1.5049,65571150.0000
20070508,4.8017,73123973.0000
20070509,0.1954,83052499.0000
20070510,0.7064,68513921.0000
20070511,-0.4525,60242752.0000
20070514,0.5943,58751381.0000
20070515,-3.2669,64001794.0000
20070516,2.9850,55559394.0000
20070517,2.5199,62708702.0000
20070518,0.3144,59209700.0000
20070521,3.0452,71621745.0000
20070522,2.1919,80650687.0000
20070523,2.7466,74290000.0000
20070524,-0.2311,83135281.0000
20070525,1.7093,71208667.0000
20070528,2.4053,81156435.0000
20070529,1.9309,75634106.0000
20070530,-8.1869,80630305.0000
20070531,-4.2299,74445307.0000
20070601,-7.2014,66043514.0000
20070604,-8.6292,45166435.0000
20070605,1.1400,70413230.0000
20070606,2.1036,67135673.0000
20070607,5.3476,64774241.0000
20070608,1.6791,64571339.0000
20070611,2.5403,61730087.0000
20070612,2.7746,73569739.0000
20070613,3.6529,77713292.0000
20070614,-1.3849,68961106.0000
20070615,0.1056,52084749.0000
20070618,2.8415,57885770.0000
20070619,2.0240,61844389.0000
20070620,-2.9325,67280998.0000
20070621,-0.4943,52002466.0000
20070622,-5.7441,55689411.0000
20070625,-6.5791,47652136.0000
20070626,1.9927,43627271.0000
20070627,2.3827,42012260.0000
20070628,-6.5717,39969481.0000
20070629,-4.5900,38787818.0000
20070702,1.6540,33504868.0000
20070703,1.6439,30575776.0000
20070704,-2.2185,26839808.0000
20070705,-6.6898,29414090.0000
20070706,6.2481,37954628.0000
20070709,3.3507,41519753.0000
20070710,-2.8431,34736935.0000
20070711,1.3068,24806420.0000
20070712,0.4890,23598616.0000
20070713,-0.4176,20163549.0000
20070716,-3.3858,20845935.0000
20070717,2.2173,21454454.0000
20070718,0.3866,24959894.0000
20070719,0.4398,18838755.0000
20070720,4.0783,35232854.0000
20070723,5.1744,50433562.0000
20070724,0.2066,51089454.0000
20070725,2.8501,41057606.0000
20070726,2.0467,47620395.0000
20070727,1.8823,48190964.0000
20070730,1.9515,53009654.0000
20070731,1.1599,50712508.0000
20070801,-5.5057,59398872.0000
20070802,4.2218,46425759.0000
20070803,1.6426,53896072.0000
20070806,2.1846,54750123.0000
20070807,-0.7593,51098863.0000
20070808,-1.6714,46105603.0000
20070809,1.0609,38807227.0000
20070810,-2.0992,40678678.0000
20070813,-0.4380,40502417.0000
20070814,2.4584,37008299.0000
20070815,-0.5277,37001028.0000
20070816,0.5929,39367719.0000
20070817,-1.0830,38005656.0000
20070820,4.0923,45576502.0000
20070821,1.1970,49591844.0000
20070822,1.2924,55468434.0000
20070823,1.0412,50015585.0000
20070824,0.1925,50881115.0000
20070827,-0.3881,52241819.0000
20070828,0.1111,47776479.0000
20070829,-0.5994,44907270.0000
20070830,3.0261,51519909.0000
20070831,1.1134,55587884.0000
20070903,2.2704,64639716.0000
20070904,-0.5651,57774062.0000
20070905,0.6064,45766789.0000
20070906,1.0934,51029933.0000
20070907,-2.4930,57324598.0000
20070910,2.0187,49224554.0000
20070911,-6.3630,55784241.0000
20070912,1.1118,47944355.0000
20070913,2.1358,41370635.0000
20070914,1.3141,46901566.0000
20070917,2.2465,52511732.0000
20070918,0.9637,49774866.0000
20070919,-1.3174,43110976.0000
20070920,0.9938,41224370.0000
20070921,-0.9891,42901057.0000
20070924,0.5148,39626579.0000
20070925,-0.8244,33147225.0000
20070926,-1.6066,27770924.0000
20070927,0.8149,25245216.0000
20070928,2.2309,35372404.0000
20071008,0.0973,36258309.0000
20071009,1.0474,35443191.0000
20071010,-0.6377,37983666.0000
20071011,-2.0278,36394377.0000
20071012,-2.2797,47244762.0000
20071015,-0.0162,34245875.0000
20071016,1.0830,28644935.0000
20071017,-0.2837,27959089.0000
20071018,-2.3344,27461488.0000
20071019,-0.0106,22176601.0000
20071022,-2.6103,23355677.0000
20071023,0.0092,22961573.0000
20071024,-1.9640,22316589.0000
20071025,-7.5085,30098040.0000
20071026,-0.5304,21560562.0000
20071029,1.4151,18080846.0000
20071030,2.3209,18713901.0000
20071031,3.6883,26309613.0000
20071101,-2.6171,23393038.0000
20071102,-2.2899,21624770.0000
20071105,0.7447,17471051.0000
20071106,0.7597,16420338.0000
20071107,-0.2083,15667195.0000
20071108,-4.1088,17215609.0000
20071109,-1.2463,15929249.0000
20071112,-1.3166,17257974.0000
20071113,0.3892,16725083.0000
20071114,3.6331,19491376.0000
20071115,-1.2498,19245921.0000
20071116,0.1549,15545429.0000
20071119,2.2776,17968551.0000
20071120,1.3539,19062835.0000
20071121,-1.4469,17508413.0000
20071122,-4.5286,15528087.0000
20071123,1.9612,11425117.0000
20071126,-1.0039,14035768.0000
20071127,-1.0339,11995548.0000
20071128,-0.7523,11482784.0000
20071129,2.6294,16398975.0000
20071130,-1.4894,15511798.0000
20071203,1.1480,14052326.0000
20071204,0.5696,13967543.0000
20071205,1.8844,17699605.0000
20071206,0.4218,15894081.0000
20071207,1.6581,19130818.0000
20071210,2.7878,27756959.0000
20071211,1.1398,29101646.0000
20071212,0.2149,25664017.0000
20071213,-3.1255,26583767.0000
20071214,2.2008,22307465.0000
20071217,0.1447,28954406.0000
20071218,-0.8484,17892083.0000
20071219,2.1892,23556730.0000
20071220,1.2215,23552788.0000
20071221,1.5177,26200857.0000
20071224,1.7288,34845138.0000
20071225,0.8920,28556997.0000
20071226,2.0276,30823799.0000
20071227,1.0302,35701877.0000
20071228,-0.3193,29803571.0000
20080102,3.5640,34345911.0000
20080103,2.0846,41987483.0000
20080104,0.2348,33308591.0000
20080107,1.9983,40403713.0000
20080108,-2.7535,42472884.0000
20080109,2.9983,34823785.0000
20080110,0.4825,40849678.0000
20080111,-0.1027,34948235.0000
20080114,1.2704,33850869.0000
20080115,0.7711,36880404.0000
20080116,-1.3518,39059990.0000
20080117,-2.6225,42935088.0000
20080118,0.8820,31238228.0000
20080121,-4.1415,35462972.0000
20080122,-8.5419,40374461.0000
20080123,5.3677,38194757.0000
20080124,3.4378,42780036.0000
20080125,0.3103,38904383.0000
20080128,-6.9886,34534567.0000
20080129,2.1123,23744433.0000
20080130,0.2229,24904476.0000
20080131,-3.8754,18567935.0000
20080201,-4.4278,22513663.0000
20080204,8.1549,21305053.0000
20080205,0.3860,20773921.0000
20080213,-0.5252,15587040.0000
20080214,2.0105,16113469.0000
20080215,-0.4957,19162780.0000
20080218,3.2159,28922754.0000
20080219,1.7889,28823325.0000
